variable,var_name,description
sph ,specific_humidity,Near-Surface Specific Humidity
vpd ,vapor_pressure_deficit,Mean Vapor Pressure Deficit
pr ,precipitation,Precipitation
rmin ,min_relative_humidity,Minimum Near-Surface Relative Humidity
rmax ,max_relative_humidity,Maximum Near-Surface Relative Humidity
srad ,surface_downwelling_solar_radiation,Surface Downwelling Solar Radiation
tmmn ,min_air_temperature,Minimum Near-Surface Air Temperature
tmmx ,max_air_temperature,Maximum Near-Surface Air Temperature
vs ,wind_speed,Wind speed at 10 m
th ,wind_direction,Wind direction at 10 m
pdsi ,palmer_drought_severity_index,Palmer Drought Severity Index
pet ,grass_evaportranspiration,Reference grass evaportranspiration
etr ,alfalfa_evaportranspiration,Reference alfalfa evaportranspiration
ERC ,energy_release_component,Energy Release Component (model-G)
BI ,burning_index,Burning Index (model-G)
FM100 ,dead_fuel_moisture_100hr,100-hour dead fuel moisture
FM1000 ,dead_fuel_moisture_1000hr,1000-hour dead fuel moisture
